,ViewData.Side0_UniqueIds,ViewData.Side1_UniqueIds,ViewData.BreakID,ViewData.Status,predicted status,predicted action,predicted category,predicted comment,custodian_val_to_use_comgen
2453,AA,389_2491400077_Goldman Sachs,1859771981,OB,OB,No-pair,dividend,Goldman Sachs  booked the dividend transaction for SD 06-21-2021. Integrata yet to book.,Goldman Sachs 
2454,AA,390_2491400077_Goldman Sachs,1859771990,OB,OB,No-pair,dividend,Goldman Sachs  booked the dividend transaction for SD 06-21-2021. Integrata yet to book.,Goldman Sachs 
2455,AA,65_2491450185_Goldman Sachs,1860151596,OB,OB,No-pair,proceeds trade settlement,Goldman Sachs  booked the proceeds trade settlement transaction for SD 07-27-2021. Integrata yet to book.,Goldman Sachs 
2456,AA,269_2491400077_Goldman Sachs,1859771994,OB,OB,No-pair,dividend,Goldman Sachs  booked the dividend transaction for SD 06-21-2021. Integrata yet to book.,Goldman Sachs 
2457,AA,424_2491400077_Goldman Sachs,1859772305,OB,OB,No-pair,dividend,Goldman Sachs  booked the dividend transaction for SD 06-21-2021. Integrata yet to book.,Goldman Sachs 
2458,AA,415_2491400070_Goldman Sachs,1859770629,OB,OB,No-pair,dividend,Goldman Sachs  booked the dividend transaction for SD 06-21-2021. Integrata yet to book.,Goldman Sachs 
2459,AA,271_2491400070_Goldman Sachs,1859770290,OB,OB,No-pair,dividend,Goldman Sachs  booked the dividend transaction for SD 06-21-2021. Integrata yet to book.,Goldman Sachs 
2460,AA,202_2491450185_Goldman Sachs,1860151757,OB,OB,No-pair,interest,Goldman Sachs  booked the interest transaction for SD 07-27-2021. Integrata yet to book.,Goldman Sachs 
2461,AA,435_2491400077_Goldman Sachs,1859772346,OB,OB,No-pair,dividend,Goldman Sachs  booked the dividend transaction for SD 06-21-2021. Integrata yet to book.,Goldman Sachs 
2462,AA,41_2491430046_Goldman Sachs,1859896928,OB,OB,No-pair,transfer pb isda,Goldman Sachs  booked the transfer pb isda transaction for SD 07-13-2021. Integrata yet to book.,Goldman Sachs 
2463,AA,302_2491400070_Goldman Sachs,1859770740,OB,OB,No-pair,dividend,Goldman Sachs  booked the dividend transaction for SD 06-21-2021. Integrata yet to book.,Goldman Sachs 
2464,AA,41_2491430060_Goldman Sachs,1859904721,OB,OB,No-pair,transfer pb isda,Goldman Sachs  booked the transfer pb isda transaction for SD 07-13-2021. Integrata yet to book.,Goldman Sachs 
2465,AA,324_2491400070_Goldman Sachs,1859770264,OB,OB,No-pair,dividend,Goldman Sachs  booked the dividend transaction for SD 06-21-2021. Integrata yet to book.,Goldman Sachs 
2466,AA,41_2491430062_Goldman Sachs,1859905203,OB,OB,No-pair,transfer pb isda,Goldman Sachs  booked the transfer pb isda transaction for SD 07-13-2021. Integrata yet to book.,Goldman Sachs 
2467,AA,540_2491450185_Goldman Sachs,1860151674,OB,OB,No-pair,transfer pb isda,Goldman Sachs  booked the transfer pb isda transaction for SD 07-27-2021. Integrata yet to book.,Goldman Sachs 
2468,AA,108_2491426012_Goldman Sachs,1859876951,OB,OB,No-pair,proceeds,Goldman Sachs  booked the proceeds transaction for SD 07-09-2021. Integrata yet to book.,Goldman Sachs 
2469,AA,175_2491380309_Goldman Sachs,1859622693,OB,OB,No-pair,wire,Goldman Sachs  booked the wire transaction for SD 06-14-2021. Integrata yet to book.,Goldman Sachs 
2470,AA,255_2491400077_Goldman Sachs,1859772216,OB,OB,No-pair,dividend,Goldman Sachs  booked the dividend transaction for SD 06-21-2021. Integrata yet to book.,Goldman Sachs 
2471,AA,175_2491400026_Goldman Sachs,1859744202,OB,OB,No-pair,wire,Goldman Sachs  booked the wire transaction for SD 06-14-2021. Integrata yet to book.,Goldman Sachs 
2472,AA,303_2491400070_Goldman Sachs,1859770659,OB,OB,No-pair,dividend,Goldman Sachs  booked the dividend transaction for SD 06-21-2021. Integrata yet to book.,Goldman Sachs 
2473,AA,250_2491450185_Goldman Sachs,1860151878,OB,OB,No-pair,interest,Goldman Sachs  booked the interest transaction for SD 07-27-2021. Integrata yet to book.,Goldman Sachs 
2474,AA,418_2491400077_Goldman Sachs,1859772306,OB,OB,No-pair,dividend,Goldman Sachs  booked the dividend transaction for SD 06-21-2021. Integrata yet to book.,Goldman Sachs 
2475,AA,175_2491380301_Goldman Sachs,1859622208,OB,OB,No-pair,wire,Goldman Sachs  booked the wire transaction for SD 06-14-2021. Integrata yet to book.,Goldman Sachs 
2476,AA,296_2491400077_Goldman Sachs,1859772343,OB,OB,No-pair,dividend,Goldman Sachs  booked the dividend transaction for SD 06-21-2021. Integrata yet to book.,Goldman Sachs 
2477,AA,145_2491450185_Goldman Sachs,1860151545,OB,OB,No-pair,dividend,Goldman Sachs  booked the dividend transaction for SD 07-27-2021. Integrata yet to book.,Goldman Sachs 
2478,AA,337_2491450107_Goldman Sachs,1860133932,OB,OB,No-pair,wire,Goldman Sachs  booked the wire transaction for SD 07-23-2021. Integrata yet to book.,Goldman Sachs 
2479,AA,393_2491400077_Goldman Sachs,1859772034,OB,OB,No-pair,dividend,Goldman Sachs  booked the dividend transaction for SD 06-21-2021. Integrata yet to book.,Goldman Sachs 
2480,AA,337_2491450021_Goldman Sachs,1860084890,OB,OB,No-pair,wire,Goldman Sachs  booked the wire transaction for SD 07-23-2021. Integrata yet to book.,Goldman Sachs 
2481,AA,401_2491400077_Goldman Sachs,1859772280,OB,OB,No-pair,dividend,Goldman Sachs  booked the dividend transaction for SD 06-21-2021. Integrata yet to book.,Goldman Sachs 
2482,AA,243_2491450146_Goldman Sachs,1860150361,OB,OB,No-pair,wire,Goldman Sachs  booked the wire transaction for SD 07-26-2021. Integrata yet to book.,Goldman Sachs 
2483,AA,375_2491400070_Goldman Sachs,1859770743,OB,OB,No-pair,dividend,Goldman Sachs  booked the dividend transaction for SD 06-21-2021. Integrata yet to book.,Goldman Sachs 
2484,AA,79_2491430283_Goldman Sachs,1860075393,OB,OB,No-pair,proceeds,Goldman Sachs  booked the proceeds transaction for SD 07-16-2021. Integrata yet to book.,Goldman Sachs 
2485,AA,79_2491450146_Goldman Sachs,1860150254,OB,OB,No-pair,transfer pb isda,Goldman Sachs  booked the transfer pb isda transaction for SD 07-26-2021. Integrata yet to book.,Goldman Sachs 
2486,AA,398_2491400077_Goldman Sachs,1859772214,OB,OB,No-pair,dividend,Goldman Sachs  booked the dividend transaction for SD 06-21-2021. Integrata yet to book.,Goldman Sachs 
2487,AA,422_2491400070_Goldman Sachs,1859770727,OB,OB,No-pair,dividend,Goldman Sachs  booked the dividend transaction for SD 06-21-2021. Integrata yet to book.,Goldman Sachs 
2488,AA,42_2491430080_Goldman Sachs,1859922244,OB,OB,No-pair,interest,Goldman Sachs  booked the interest transaction for SD 07-14-2021. Integrata yet to book.,Goldman Sachs 
2489,AA,94_2491450185_Goldman Sachs,1860151521,OB,OB,No-pair,dividend,Goldman Sachs  booked the dividend transaction for SD 07-27-2021. Integrata yet to book.,Goldman Sachs 
2490,AA,324_2491430290_Goldman Sachs,1860076677,OB,OB,No-pair,transfer pb isda,Goldman Sachs  booked the transfer pb isda transaction for SD 07-19-2021. Integrata yet to book.,Goldman Sachs 
2491,AA,272_2491400070_Goldman Sachs,1859770300,OB,OB,No-pair,dividend,Goldman Sachs  booked the dividend transaction for SD 06-21-2021. Integrata yet to book.,Goldman Sachs 
2492,AA,391_2491400070_Goldman Sachs,1859770723,OB,OB,No-pair,dividend,Goldman Sachs  booked the dividend transaction for SD 06-21-2021. Integrata yet to book.,Goldman Sachs 
2493,AA,125_2491450185_Goldman Sachs,1860151527,OB,OB,No-pair,interest,Goldman Sachs  booked the interest transaction for SD 07-27-2021. Integrata yet to book.,Goldman Sachs 
2494,AA,746_2491400070_Goldman Sachs,1859770329,OB,OB,No-pair,wire,Goldman Sachs  booked the wire transaction for SD 06-21-2021. Integrata yet to book.,Goldman Sachs 
2495,AA,264_2491400077_Goldman Sachs,1859771883,OB,OB,No-pair,dividend,Goldman Sachs  booked the dividend transaction for SD 06-21-2021. Integrata yet to book.,Goldman Sachs 
2496,AA,145_2491430302_Goldman Sachs,1860079964,OB,OB,No-pair,wire,Goldman Sachs  booked the wire transaction for SD 07-21-2021. Integrata yet to book.,Goldman Sachs 
2497,AA,286_2491450185_Goldman Sachs,1860151628,OB,OB,No-pair,interest,Goldman Sachs  booked the interest transaction for SD 07-27-2021. Integrata yet to book.,Goldman Sachs 
2498,AA,347_2491450011_Goldman Sachs,1860083513,OB,OB,No-pair,wire,Goldman Sachs  booked the wire transaction for SD 07-22-2021. Integrata yet to book.,Goldman Sachs 
2499,AA,134_2491380301_Goldman Sachs,1859622155,OB,OB,No-pair,option cash dividend,Goldman Sachs  booked the option cash dividend transaction for SD 06-11-2021. Integrata yet to book.,Goldman Sachs 
2500,AA,206_2491430283_Goldman Sachs,1860075478,OB,OB,No-pair,transfer pb isda,Goldman Sachs  booked the transfer pb isda transaction for SD 07-16-2021. Integrata yet to book.,Goldman Sachs 
2501,AA,746_2491400077_Goldman Sachs,1859772278,OB,OB,No-pair,wire,Goldman Sachs  booked the wire transaction for SD 06-21-2021. Integrata yet to book.,Goldman Sachs 
2502,AA,134_2491400026_Goldman Sachs,1859744269,OB,OB,No-pair,option cash dividend,Goldman Sachs  booked the option cash dividend transaction for SD 06-11-2021. Integrata yet to book.,Goldman Sachs 
2503,AA,134_2491380309_Goldman Sachs,1859622734,OB,OB,No-pair,option cash dividend,Goldman Sachs  booked the option cash dividend transaction for SD 06-11-2021. Integrata yet to book.,Goldman Sachs 
2504,AA,306_2491450185_Goldman Sachs,1860151886,OB,OB,No-pair,interest,Goldman Sachs  booked the interest transaction for SD 07-27-2021. Integrata yet to book.,Goldman Sachs 
2505,AA,308_2491400070_Goldman Sachs,1859770651,OB,OB,No-pair,dividend,Goldman Sachs  booked the dividend transaction for SD 06-21-2021. Integrata yet to book.,Goldman Sachs 
2506,AA,135_2491400026_Goldman Sachs,1859744277,OB,OB,No-pair,option cash dividend,Goldman Sachs  booked the option cash dividend transaction for SD 06-11-2021. Integrata yet to book.,Goldman Sachs 
