,Side1_UniqueIds,Side0_UniqueIds,Predicted_Status,Predicted_action,PredictedCategory,PredictedComment,TaskID,SourceCombinationCode,BusinessDate,BreakID,Final_predicted_break,ML_flag,SetupID,probability_No_pair,probability_UMB,probability_UMR,probability_UMT,ReconSetupName,ClientShortCode,CreatedDate,ActionType,ActionTypeCode
12,73_2491400067_UBS,,UCB,Close,Close,,2491430081,393227302,2021-07-14 00:00:00+00:00,1859769615,,ML,249,,,,,Lombard Cash Recon,Lombard,2021-07-24 00:00:00+00:00,CLOSE,2
13,81_2491400067_UBS,,UCB,Close,Close,,2491430081,393227302,2021-07-14 00:00:00+00:00,1859769366,,ML,249,,,,,Lombard Cash Recon,Lombard,2021-07-24 00:00:00+00:00,CLOSE,2
14,230_2491400067_UBS,,UCB,Close,Close,,2491430081,393227302,2021-07-14 00:00:00+00:00,1859769632,,ML,249,,,,,Lombard Cash Recon,Lombard,2021-07-24 00:00:00+00:00,CLOSE,2
15,201_2491400081_UBS,,UCB,Close,Close,,2491430081,393227302,2021-07-14 00:00:00+00:00,1859772560,,ML,249,,,,,Lombard Cash Recon,Lombard,2021-07-24 00:00:00+00:00,CLOSE,2
16,200_2491400067_UBS,,UCB,Close,Close,,2491430081,393227302,2021-07-14 00:00:00+00:00,1859769370,,ML,249,,,,,Lombard Cash Recon,Lombard,2021-07-24 00:00:00+00:00,CLOSE,2
17,73_2491400081_UBS,,UCB,Close,Close,,2491430081,393227302,2021-07-14 00:00:00+00:00,1859772810,,ML,249,,,,,Lombard Cash Recon,Lombard,2021-07-24 00:00:00+00:00,CLOSE,2
18,230_2491400081_UBS,,UCB,Close,Close,,2491430081,393227302,2021-07-14 00:00:00+00:00,1859772829,,ML,249,,,,,Lombard Cash Recon,Lombard,2021-07-24 00:00:00+00:00,CLOSE,2
19,81_2491400081_UBS,,UCB,Close,Close,,2491430081,393227302,2021-07-14 00:00:00+00:00,1859772563,,ML,249,,,,,Lombard Cash Recon,Lombard,2021-07-24 00:00:00+00:00,CLOSE,2
20,76_2491400067_UBS,,UCB,Close,Close,,2491430081,393227302,2021-07-14 00:00:00+00:00,1859769613,,ML,249,,,,,Lombard Cash Recon,Lombard,2021-07-24 00:00:00+00:00,CLOSE,2
21,201_2491400067_UBS,,UCB,Close,Close,,2491430081,393227302,2021-07-14 00:00:00+00:00,1859769361,,ML,249,,,,,Lombard Cash Recon,Lombard,2021-07-24 00:00:00+00:00,CLOSE,2
22,74_2491400067_UBS,,UCB,Close,Close,,2491430081,393227302,2021-07-14 00:00:00+00:00,1859769620,,ML,249,,,,,Lombard Cash Recon,Lombard,2021-07-24 00:00:00+00:00,CLOSE,2
23,179_2491400067_UBS,,UCB,Close,Close,,2491430081,393227302,2021-07-14 00:00:00+00:00,1859769611,,ML,249,,,,,Lombard Cash Recon,Lombard,2021-07-24 00:00:00+00:00,CLOSE,2
24,74_2491400081_UBS,,UCB,Close,Close,,2491430081,393227302,2021-07-14 00:00:00+00:00,1859772817,,ML,249,,,,,Lombard Cash Recon,Lombard,2021-07-24 00:00:00+00:00,CLOSE,2
25,241_2491400081_UBS,,UCB,Close,Close,,2491430081,393227302,2021-07-14 00:00:00+00:00,1859772577,,ML,249,,,,,Lombard Cash Recon,Lombard,2021-07-24 00:00:00+00:00,CLOSE,2
26,226_2491400067_UBS,,UCB,Close,Close,,2491430081,393227302,2021-07-14 00:00:00+00:00,1859769621,,ML,249,,,,,Lombard Cash Recon,Lombard,2021-07-24 00:00:00+00:00,CLOSE,2
27,85_2491400067_UBS,,UCB,Close,Close,,2491430081,393227302,2021-07-14 00:00:00+00:00,1859769375,,ML,249,,,,,Lombard Cash Recon,Lombard,2021-07-24 00:00:00+00:00,CLOSE,2
28,179_2491400081_UBS,,UCB,Close,Close,,2491430081,393227302,2021-07-14 00:00:00+00:00,1859772804,,ML,249,,,,,Lombard Cash Recon,Lombard,2021-07-24 00:00:00+00:00,CLOSE,2
29,196_2491400067_UBS,,UCB,Close,Close,,2491430081,393227302,2021-07-14 00:00:00+00:00,1859769363,,ML,249,,,,,Lombard Cash Recon,Lombard,2021-07-24 00:00:00+00:00,CLOSE,2
30,85_2491400081_UBS,,UCB,Close,Close,,2491430081,393227302,2021-07-14 00:00:00+00:00,1859772566,,ML,249,,,,,Lombard Cash Recon,Lombard,2021-07-24 00:00:00+00:00,CLOSE,2
31,197_2491400081_UBS,,UCB,Close,Close,,2491430081,393227302,2021-07-14 00:00:00+00:00,1859772559,,ML,249,,,,,Lombard Cash Recon,Lombard,2021-07-24 00:00:00+00:00,CLOSE,2
32,72_2491400081_UBS,,UCB,Close,Close,,2491430081,393227302,2021-07-14 00:00:00+00:00,1859772808,,ML,249,,,,,Lombard Cash Recon,Lombard,2021-07-24 00:00:00+00:00,CLOSE,2
33,238_2491400067_UBS,,UCB,Close,Close,,2491430081,393227302,2021-07-14 00:00:00+00:00,1859769373,,ML,249,,,,,Lombard Cash Recon,Lombard,2021-07-24 00:00:00+00:00,CLOSE,2
34,200_2491400081_UBS,,UCB,Close,Close,,2491430081,393227302,2021-07-14 00:00:00+00:00,1859772568,,ML,249,,,,,Lombard Cash Recon,Lombard,2021-07-24 00:00:00+00:00,CLOSE,2
35,185_2491400067_UBS,,UCB,Close,Close,,2491430081,393227302,2021-07-14 00:00:00+00:00,1859769627,,ML,249,,,,,Lombard Cash Recon,Lombard,2021-07-24 00:00:00+00:00,CLOSE,2
36,72_2491400067_UBS,,UCB,Close,Close,,2491430081,393227302,2021-07-14 00:00:00+00:00,1859769609,,ML,249,,,,,Lombard Cash Recon,Lombard,2021-07-24 00:00:00+00:00,CLOSE,2
37,241_2491400067_UBS,,UCB,Close,Close,,2491430081,393227302,2021-07-14 00:00:00+00:00,1859769378,,ML,249,,,,,Lombard Cash Recon,Lombard,2021-07-24 00:00:00+00:00,CLOSE,2
38,196_2491400081_UBS,,UCB,Close,Close,,2491430081,393227302,2021-07-14 00:00:00+00:00,1859772561,,ML,249,,,,,Lombard Cash Recon,Lombard,2021-07-24 00:00:00+00:00,CLOSE,2
39,77_2491400067_UBS,,UCB,Close,Close,,2491430081,393227302,2021-07-14 00:00:00+00:00,1859769619,,ML,249,,,,,Lombard Cash Recon,Lombard,2021-07-24 00:00:00+00:00,CLOSE,2
40,197_2491400067_UBS,,UCB,Close,Close,,2491430081,393227302,2021-07-14 00:00:00+00:00,1859769368,,ML,249,,,,,Lombard Cash Recon,Lombard,2021-07-24 00:00:00+00:00,CLOSE,2
41,239_2491400067_UBS,,UCB,Close,Close,,2491430081,393227302,2021-07-14 00:00:00+00:00,1859769377,,ML,249,,,,,Lombard Cash Recon,Lombard,2021-07-24 00:00:00+00:00,CLOSE,2
42,198_2491400067_UBS,,UCB,Close,Close,,2491430081,393227302,2021-07-14 00:00:00+00:00,1859769369,,ML,249,,,,,Lombard Cash Recon,Lombard,2021-07-24 00:00:00+00:00,CLOSE,2
43,86_2491400081_UBS,,UCB,Close,Close,,2491430081,393227302,2021-07-14 00:00:00+00:00,1859772556,,ML,249,,,,,Lombard Cash Recon,Lombard,2021-07-24 00:00:00+00:00,CLOSE,2
44,198_2491400081_UBS,,UCB,Close,Close,,2491430081,393227302,2021-07-14 00:00:00+00:00,1859772564,,ML,249,,,,,Lombard Cash Recon,Lombard,2021-07-24 00:00:00+00:00,CLOSE,2
45,182_2491400081_UBS,,UCB,Close,Close,,2491430081,393227302,2021-07-14 00:00:00+00:00,1859772818,,ML,249,,,,,Lombard Cash Recon,Lombard,2021-07-24 00:00:00+00:00,CLOSE,2
46,229_2491400081_UBS,,UCB,Close,Close,,2491430081,393227302,2021-07-14 00:00:00+00:00,1859772811,,ML,249,,,,,Lombard Cash Recon,Lombard,2021-07-24 00:00:00+00:00,CLOSE,2
47,231_2491400067_UBS,,UCB,Close,Close,,2491430081,393227302,2021-07-14 00:00:00+00:00,1859769633,,ML,249,,,,,Lombard Cash Recon,Lombard,2021-07-24 00:00:00+00:00,CLOSE,2
48,239_2491400081_UBS,,UCB,Close,Close,,2491430081,393227302,2021-07-14 00:00:00+00:00,1859772576,,ML,249,,,,,Lombard Cash Recon,Lombard,2021-07-24 00:00:00+00:00,CLOSE,2
49,224_2491400081_UBS,,UCB,Close,Close,,2491430081,393227302,2021-07-14 00:00:00+00:00,1859772827,,ML,249,,,,,Lombard Cash Recon,Lombard,2021-07-24 00:00:00+00:00,CLOSE,2
50,86_2491400067_UBS,,UCB,Close,Close,,2491430081,393227302,2021-07-14 00:00:00+00:00,1859769357,,ML,249,,,,,Lombard Cash Recon,Lombard,2021-07-24 00:00:00+00:00,CLOSE,2
